cik,name,sic,st
1985,"ACCEL INTERNATIONAL CORP",6331,CT
2062,"ACMAT CORP",6351,CT
2648,"AETNA SERVICES INC /CT/",6321,CT
3133,"AMSOUTH BANCORPORATION",6022,AL
3449,"ALEXANDER & ALEXANDER SERVICES INC",6411,NY
3499,"ALEXANDERS INC",6798,NJ
3565,"ALL AMERICAN ASSURANCE CO",6311,TX
3642,"ALLCITY INSURANCE CO /NY/",6331,NY
3650,"ALLEGHENY & WESTERN RAILWAY CO",6519,VA
4570,"AMERICAN BANCORPORATION /WV/",6022,WV
4707,"AMERICA CAPITAL CORP",6036,FL
4962,"AMERICAN EXPRESS CO",6199,NY
4969,"AMERICAN EXPRESS CREDIT CORP",6153,DE
4977,"AFLAC INC",6321,GA
5016,"AMERICAN FINANCIAL CORP",6331,OH
5103,"AMERICAN GENERAL CORP /TX/",6311,TX
5172,"AMERICAN HERITAGE LIFE INVESTMENT CORP",6311,FL
5207,"AMERICAN HOUSING PARTNERS",6512,CA
5227,"AMERICAN INDEMNITY FINANCIAL CORP",6311,TX
5272,"AMERICAN INTERNATIONAL GROUP INC",6331,NY
5320,"AMVESTORS FINANCIAL CORP",6311,KS
5368,"AMERICAN LIBERTY FINANCIAL CORP",6311,LA
5486,"AMERICAN MORTGAGE & INVESTMENT CO",6552,SC
5513,"Unum Group",6321,TN
7059,"Strategic Rare Earth Metals Inc.",6770,FL
7214,"WASHINGTON MUTUAL FINANCE CORP",6141,FL
7789,"ASSOCIATED BANC-CORP",6022,WI
7951,"ROBERTSON GLOBAL HEALTH SOLUTIONS CORP",6799,MI
7973,"ASSOCIATES CORPORATION OF NORTH AMERICA",6141,TX
7974,"ASSOCIATES FIRST CAPITAL CORP",6141,TX
8177,"ATLANTIC AMERICAN CORP",6311,GA
8286,"ATLANTIS INTERNATIONAL CORP",6199,TX
8497,"ASSURANCEAMERICA CORP",6331,GA
8565,"COMMONWEALTH BANK OF AUSTRALIA",6029,C3
8795,"AVCO FINANCIAL SERVICES INC",6141,CA
8802,"AVEMCO CORP",6331,MD
8867,"AVON OVERSEAS CAPITAL CORP",6792,NY
8960,"BENEFICIAL CORP",6141,IL
9217,"PERRY & CO",6199,GA
9235,"BKF CAPITAL GROUP INC",6282,FL
9346,"BALDWIN & LYONS INC",6331,IN
9626,"BANK OF NEW YORK CO INC",6022,NY
9631,"BANK OF NOVA SCOTIA",6022,A6
9659,"SIGNET BANKING CORP",6021,VA
9664,"UNITED NEW MEXICO FINANCIAL CORP",6022,NM
9672,"BANKAMERICA CORP",6021,CA
9677,"BRE PROPERTIES INC",6798,CA
9696,"BANKERS FIDELITY LIFE INSURANCE CO",6311,GA
9749,"BANKERS TRUST CORP",6022,NY
10012,"BARNETT BANKS INC",6022,FL
10497,"BAYBANKS INC",6022,MA
11544,"BERKLEY W R CORP",6331,CT
11913,"BEVERLY BANCORPORATION INC",6029,IL
11917,"BEVERLY HILLS BANCORP",6022,CA
12239,"SPHERIX INC",6794,NY
12779,"BLUE RIDGE REAL ESTATE CO",6500,PA
13352,"BOSTON CO INC",6200,MA
13777,"BRADLEY REAL ESTATE INC",6798,IL
13824,"BRL ENTERPRISES INC",6799,A0
13839,"BB&T FUNDS",6022,NC
14060,"BRENTON BANKS INC",6021,IA
14073,"BRESLER & REINER INC",6513,MD
14294,"BRITISH AMERICAN INSURANCE CO LTD",6311,C5
14637,"BNS HOLDING, INC.",6500,CA
14846,"BRT Apartments Corp.",6798,NY
15019,"BTR REALTY INC",6798,MD
15288,"BULLION MONARCH MINING, INC. (OLD)",6795,UT
16343,"PATRIOT AMERICAN HOSPITALITY INC/DE",6500,TX
16387,"CAPITAL TRUST",6798,NY
16614,"CAMCO FINANCIAL CORP",6036,OH
16754,"O&Y PROPERTIES CORP",6512,A6
16859,"MFC BANCORP LTD.",6029,E9
17206,"PROVIDIAN CORP",6311,KY
17221,"CAPITAL INVESTMENT OF HAWAII INC",6500,HI
17294,"CAPITAL RESOURCES REAL ESTATE PARTNERSHIP II",6512,TX
17385,"CAPITOL TRANSAMERICA CORP",6331,WI
17732,"CARNEGIE FINANCIAL CORP /PA/",6141,PA
18349,"SYNOVUS FINANCIAL CORP",6021,GA
18497,"CENCOR INC",6141,KS
18508,"FOREMOST CORP OF AMERICA",6331,MI
18564,"CENTRAL BANCORP INC",6022,FL
18568,"COMPASS BANCSHARES INC",6021,AL
18605,"CENTRAL NATURAL RESOURCES INC",6792,MO
18620,"CENTRAL CORP /LA/",6022,LA
18873,"CENTURY BUSINESS CREDIT CORP",6153,NY
18905,"CENTURY PROPERTIES EQUITY PARTNERSHIP 72",6500,GA
18912,"CENTURY PROPERTIES PREFERRED PARTNERSHIP 72",6153,GA
18914,"CENTURY REALTY TRUST",6798,IN
18934,"CV REIT INC",6798,FL
19399,"CHARTER FINANCIAL CORP",6022,MA
19489,"CHASE MANHATTAN CORP",6021,NY
19612,"CHEMICAL FINANCIAL CORP",6022,MI
19617,"JPMORGAN CHASE & CO",6021,NY
19855,"CHICAGO MILWAUKEE CORP",6532,IL
19913,"CHIEF CONSOLIDATED MINING CO",6795,UT
20164,"CHRYSLER FINANCIAL CORP",6189,MI
20171,"CHUBB CORP",6331,NJ
