SIC,CIK,Company Name
2070,7084,ARCHER DANIELS MIDLAND CO
5150,823277,CHS INC
6021,70858,BANK OF AMERICA CORP /DE/
6021,831001,CITIGROUP INC
6021,83246,HSBC USA INC /MD/
6021,19617,JPMORGAN CHASE & CO
6021,91576,KEYCORP /NEW/
6021,713676,"PNC FINANCIAL SERVICES GROUP, INC."
6021,811830,"Santander Holdings USA, Inc."
6021,750556,SUNTRUST BANKS INC
6021,36104,US BANCORP \DE\
6021,72971,WELLS FARGO & COMPANY/MN
6022,1390777,Bank of New York Mellon Corp
6022,9631,BANK OF NOVA SCOTIA
6022,35527,FIFTH THIRD BANCORP
6022,73124,NORTHERN TRUST CORP
6022,93751,STATE STREET CORP
6029,927971,BANK OF MONTREAL /CAN/
6035,1015780,E TRADE FINANCIAL CORP
6200,1094831,"BGC Partners, Inc."
6200,1499912,"Global Brokerage, Inc."
6200,913760,INTL FCSTONE INC.
6200,1401106,MF Global Holdings Ltd.
6211,886982,GOLDMAN SACHS GROUP INC
6211,1381197,"Interactive Brokers Group, Inc."
6211,1084580,Jefferies Group LLC + 96223,LEUCADIA NATIONAL CORP
6211,895421,MORGAN STANLEY
6211,316709,SCHWAB CHARLES CORP
6211,1173431,TD AMERITRADE HOLDING CORP
6211,1111559,TRADESTATION GROUP INC
6221,1444363,"GAIN Capital Holdings, Inc."
6351,814585,MBIA INC
